year,month,day,aqit
2014,8,23,110
2014,8,24,64
2014,8,25,54
2014,8,26,82
2014,8,27,108
2014,8,28,99
2014,8,29,92
2014,8,30,99
2014,8,31,63
2014,9,1,89
2014,9,2,46
2014,9,3,37
2014,9,4,59
2014,9,5,84
2014,9,6,135
2014,9,7,138
2014,9,8,56
2014,9,9,72
2014,9,10,61
2014,9,11,73
2014,9,12,69
2014,9,13,89
2014,9,14,94
2014,9,15,63
2014,9,16,90
2014,9,17,55
2014,9,18,84
2014,9,19,92
2014,9,20,122
2014,9,21,64
2014,9,22,84
2014,9,23,105
2014,9,24,59
2014,9,25,68
2014,9,26,143
2014,9,27,89
2014,9,28,65
2014,9,29,82
2014,9,30,48
2014,10,1,99
2014,10,2,104
2014,10,3,80
2014,10,4,53
2014,10,5,49
2014,10,6,56
2014,10,7,132
2014,10,8,210
2014,10,9,224
2014,10,10,228
2014,10,11,129
2014,10,12,43
2014,10,13,57
2014,10,14,110
2014,10,15,103
2014,10,16,71
2014,10,17,160
2014,10,18,214
2014,10,19,185
2014,10,20,166
2014,10,21,63
2014,10,22,74
2014,10,23,231
2014,10,24,291
2014,10,25,265
2014,10,26,173
2014,10,27,58
2014,10,28,67
2014,10,29,135
2014,10,30,190
2014,10,31,198
2014,11,1,125
2014,11,2,52
2014,11,3,88
2014,11,4,107
2014,11,5,103
2014,11,6,52
2014,11,7,62
2014,11,8,82
2014,11,9,158
2014,11,10,222
2014,11,11,110
2014,11,12,59
2014,11,13,73
2014,11,14,94
2014,11,15,107
2014,11,16,110
2014,11,17,70
2014,11,18,182
2014,11,19,186
2014,11,20,241
2014,11,21,180
2014,11,22,118
2014,11,23,176
2014,11,24,134
2014,11,25,98
2014,11,26,320
2014,11,27,230
2014,11,28,139
2014,11,29,239
2014,11,30,164
2014,12,1,89
2014,12,2,77
2014,12,3,80
2014,12,4,57
2014,12,5,65
2014,12,6,139
2014,12,7,98
2014,12,8,109
2014,12,9,205
2014,12,10,178
2014,12,11,55
2014,12,12,61
2014,12,13,107
2014,12,14,180
2014,12,15,148
2014,12,16,53
2014,12,17,104
2014,12,18,236
2014,12,19,140
2014,12,20,52
2014,12,21,57
2014,12,22,178
2014,12,23,241
2014,12,24,139
2014,12,25,105
2014,12,26,160
2014,12,27,334
2014,12,28,368
2014,12,29,325
2014,12,30,143
2014,12,31,83
